Model;Dataset;Num_Features;MAE;MSE;RMSE;RSR;MAPE;sMAPE;R2;EVS;MBE;CV(RMSE)%;MdAE;MaxE;NSE;KGE;CCC;VAF(%);PI;Best_Params
ExtraTrees;Unseen;8;0,0741;0,0105;0,1023;0,2317;5,6853;5,6167;0,946;0,9464;-0,0082;7,4021;0,0591;0,4183;0,946;0,8657;0,9692;94,6383;9,2432;{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}
GPR;Train;8;0,0259;0,0012;0,0352;0,0876;2,1198;2,119;0,9923;0,9923;-0,0;2,6491;0,02;0,2303;0,9923;0,9931;0,9961;99,232;28,201;{'kernel': RBF(length_scale=1), 'alpha': 0.001}
GPR;Test;8;0,0405;0,0029;0,0542;0,1321;3,2965;3,2962;0,9825;0,9829;0,0076;4,0943;0,0301;0,3219;0,9825;0,9688;0,9915;98,2853;18,1119;{'kernel': RBF(length_scale=1), 'alpha': 0.001}
GPR;Unseen;8;0,0665;0,0079;0,0887;0,2009;4,9019;5,1241;0,9594;0,9777;-0,0596;6,4171;0,0529;0,3199;0,9594;0,9295;0,9788;97,7733;10,8131;{'kernel': RBF(length_scale=1), 'alpha': 0.001}
Stack;Train;9;0,0271;0,0012;0,0341;0,085;2,2254;2,2359;0,9928;0,9928;0,0005;2,57;0,0229;0,1722;0,9928;0,9762;0,9965;99,2773;29,0813;{'passthrough': True, 'final_estimator__alpha': 1}
Stack;Test;9;0,0622;0,0066;0,0812;0,1978;4,7663;4,6627;0,9608;0,9671;0,0326;6,1308;0,049;0,4036;0,9608;0,9583;0,981;96,709;11,8281;{'passthrough': True, 'final_estimator__alpha': 1}
Stack;Unseen;9;0,0778;0,0115;0,1072;0,2427;6,3411;6,0155;0,9408;0,9492;0,0402;7,7517;0,0518;0,3486;0,9408;0,9184;0,9684;94,915;8,7777;{'passthrough': True, 'final_estimator__alpha': 1}
Quantile;Train;18;0,13;0,0311;0,1762;0,4387;10,9902;10,5789;0,8074;0,8074;0,002;13,2666;0,0972;1,069;0,8074;0,8259;0,889;80,74;4,5816;{'quantile': 0.5, 'alpha': 0.0}
Quantile;Test;18;0,1297;0,0317;0,1779;0,4332;10,8444;10,4966;0,8119;0,812;0,0053;13,4287;0,0974;0,7255;0,8119;0,8208;0,8907;81,2024;4,563;{'quantile': 0.5, 'alpha': 0.0}
Quantile;Unseen;18;0,1478;0,0418;0,2045;0,463;10,8228;11,1403;0,7846;0,7987;-0,0524;14,7898;0,1031;1,0973;0,7846;0,796;0,8734;79,8736;3,8366;{'quantile': 0.5, 'alpha': 0.0}
Poisson;Train;18;0,1269;0,0265;0,1628;0,4053;10,6107;10,1679;0,8356;0,8356;0,0;12,2561;0,1054;0,7907;0,8356;0,8795;0,9106;83,5604;5,1328;{'max_iter': 100, 'alpha': 0.0}
Poisson;Test;18;0,1188;0,0243;0,1557;0,3792;9,8197;9,4213;0,8559;0,856;0,005;11,7534;0,0904;0,5383;0,8559;0,8943;0,9224;85,6018;5,4961;{'max_iter': 100, 'alpha': 0.0}
Poisson;Unseen;18;0,1382;0,0328;0,1811;0,4099;10,1201;10,2772;0,8311;0,8431;-0,0482;13,0946;0,1056;0,8997;0,8311;0,8689;0,9077;84,3087;4,5904;{'max_iter': 100, 'alpha': 0.0}
Tweedie;Train;18;0,1269;0,0265;0,1628;0,4053;10,6107;10,1679;0,8356;0,8356;0,0;12,2561;0,1054;0,7907;0,8356;0,8795;0,9106;83,5604;5,1328;{'power': 1, 'alpha': 0.0}
Tweedie;Test;18;0,1188;0,0243;0,1557;0,3792;9,8197;9,4213;0,8559;0,856;0,005;11,7534;0,0904;0,5383;0,8559;0,8943;0,9224;85,6018;5,4961;{'power': 1, 'alpha': 0.0}
Tweedie;Unseen;18;0,1382;0,0328;0,1811;0,4099;10,1201;10,2772;0,8311;0,8431;-0,0482;13,0946;0,1056;0,8997;0,8311;0,8689;0,9077;84,3087;4,5904;{'power': 1, 'alpha': 0.0}
Gamma;Train;18;0,1308;0,0289;0,17;0,4233;10,6122;10,2178;0,8207;0,8207;0,0007;12,7989;0,1076;0,8588;0,8207;0,8806;0,9035;82,0722;4,8275;{'max_iter': 100, 'alpha': 0.0}
Gamma;Test;18;0,1236;0,0269;0,1641;0,3996;9,8941;9,5338;0,8399;0,8401;0,0054;12,3863;0,0893;0,6029;0,8399;0,8934;0,9145;84,0103;5,1181;{'max_iter': 100, 'alpha': 0.0}
Gamma;Unseen;18;0,1453;0,037;0,1923;0,4354;10,4067;10,5701;0,8095;0,821;-0,0473;13,9074;0,1129;0,9446;0,8095;0,8701;0,8972;82,1049;4,2097;{'max_iter': 100, 'alpha': 0.0}
OMP;Train;18;0,1328;0,03;0,1733;0,4314;11,1896;10,9231;0,8138;0,8138;-0,0;13,0442;0,1057;0,9975;0,8138;0,8615;0,8973;81,3781;4,6967;{'n_nonzero_coefs': 10}
OMP;Test;18;0,1273;0,0294;0,1715;0,4175;10,7136;10,5116;0,8253;0,8253;0,0034;12,9409;0,0982;0,6622;0,8253;0,8573;0,9025;82,5342;4,8133;{'n_nonzero_coefs': 10}
OMP;Unseen;18;0,146;0,0393;0,1981;0,4486;10,8928;11,362;0,7978;0,813;-0,0544;14,3299;0,1111;1,0256;0,7978;0,8308;0,8856;81,3015;4,0263;{'n_nonzero_coefs': 10}
PA;Train;18;0,146;0,035;0,187;0,4655;12,0598;11,941;0,7832;0,7832;-0,0007;14,0753;0,1217;0,9961;0,7832;0,8739;0,8854;78,3181;4,189;{'max_iter': 100, 'epsilon': 0.1, 'C': 0.01}
PA;Test;18;0,1425;0,0336;0,1833;0,4464;11,7118;11,5982;0,8002;0,8003;0,0027;13,8371;0,1119;0,6866;0,8002;0,8696;0,8921;80,0278;4,3649;{'max_iter': 100, 'epsilon': 0.1, 'C': 0.01}
PA;Unseen;18;0,1556;0,045;0,2121;0,4802;11,5026;12,0166;0,7683;0,7839;-0,0551;15,3386;0,12;1,0663;0,7683;0,8298;0,8707;78,3921;3,6225;{'max_iter': 100, 'epsilon': 0.1, 'C': 0.01}
CAT;Train;11;0,0234;0,0009;0,0299;0,0745;1,9104;1,9074;0,9945;0,9945;-0,0;2,2518;0,0197;0,1436;0,9945;0,991;0,9972;99,445;33,2469;{'random_strength': 1.0, 'nan_mode': 'Min', 'min_data_in_leaf': 5, 'max_bin': 256, 'learning_rate': 0.1, 'l2_leaf_reg': 1, 'iterations': 250, 'depth': 5, 'bootstrap_type': 'Bayesian', 'bagging_temperature': 0.75}
CAT;Test;11;0,0395;0,0028;0,0525;0,1279;3,1707;3,1471;0,9836;0,9836;0,0021;3,9654;0,0314;0,2148;0,9836;0,9741;0,9916;98,3621;18,7214;{'random_strength': 1.0, 'nan_mode': 'Min', 'min_data_in_leaf': 5, 'max_bin': 256, 'learning_rate': 0.1, 'l2_leaf_reg': 1, 'iterations': 250, 'depth': 5, 'bootstrap_type': 'Bayesian', 'bagging_temperature': 0.75}
CAT;Unseen;11;0,0426;0,0035;0,059;0,1335;3,2406;3,2216;0,9821;0,9822;0,0042;4,2657;0,0304;0,2544;0,9821;0,9637;0,9907;98,2169;16,6505;{'random_strength': 1.0, 'nan_mode': 'Min', 'min_data_in_leaf': 5, 'max_bin': 256, 'learning_rate': 0.1, 'l2_leaf_reg': 1, 'iterations': 250, 'depth': 5, 'bootstrap_type': 'Bayesian', 'bagging_temperature': 0.75}
